aX,aY,aZ,gX,gY,gZ
-0.091,0.003,1.079,17.090,7.935,-0.366
-0.091,-0.012,1.003,20.935,3.113,0.732
-0.070,-0.023,0.923,21.118,-2.075,1.526
-0.065,-0.027,0.875,18.921,-5.615,1.282
-0.084,-0.032,0.872,14.526,-4.089,0.000
-0.081,-0.050,0.908,9.583,-1.465,-0.061
-0.089,-0.062,0.951,7.690,-1.343,0.122
-0.094,-0.077,0.956,8.240,-1.770,-0.366
-0.086,-0.080,0.911,9.583,-4.028,-0.427
-0.094,-0.072,0.870,9.033,-9.155,-1.099
-0.105,-0.089,0.853,6.897,-12.817,-1.038
-0.120,-0.068,0.861,2.930,-12.390,-1.648
-0.148,-0.038,0.902,-0.549,-8.057,-1.831
-0.178,-0.030,0.952,-2.930,-4.333,-0.610
-0.157,-0.016,0.986,-4.578,-2.625,0.977
-0.122,-0.001,1.022,-4.150,-3.540,2.563
-0.061,0.002,1.040,-2.075,-3.418,3.906
-0.026,0.001,1.040,0.061,-4.883,3.418
-0.040,0.004,1.021,1.892,-6.287,1.404
-0.074,-0.009,1.001,2.991,-5.432,-0.183
-0.090,-0.008,0.996,3.845,-4.272,-0.854
-0.109,-0.005,0.977,5.432,-5.371,-1.221
-0.111,0.004,0.949,6.653,-7.385,-1.099
-0.117,0.002,0.927,6.348,-7.751,-0.244
-0.146,-0.016,0.919,4.883,-8.240,0.244
-0.145,-0.021,0.917,3.174,-4.028,0.793
-0.145,-0.031,0.921,1.892,0.122,0.977
-0.139,-0.033,0.927,0.610,1.160,1.404
-0.115,-0.026,0.926,0.061,1.221,2.502
-0.092,-0.020,0.936,-0.427,1.160,3.052
-0.082,-0.036,0.955,-0.916,0.488,2.747
-0.070,-0.038,0.959,-1.099,-0.305,1.892
-0.122,-0.046,0.957,-0.977,-1.221,0.488
-0.108,-0.043,0.956,-0.732,-0.061,-0.122
-0.133,-0.024,0.956,-0.977,1.160,-1.038
-0.171,-0.021,0.966,-2.380,0.427,0.061
-0.140,-0.027,0.988,-2.869,1.465,0.854
-0.128,-0.021,0.990,-2.380,0.305,1.221
-0.099,-0.020,0.984,-1.648,0.916,2.014
-0.090,-0.018,0.973,-0.732,-0.916,1.709
-0.085,-0.013,0.970,-0.427,-2.502,1.648
-0.087,-0.003,0.977,0.061,-2.380,1.526
-0.093,-0.001,0.991,0.244,-1.038,0.854
-0.099,0.002,1.001,0.427,0.732,0.183
-0.108,0.000,1.011,1.038,1.709,0.061
-0.127,0.003,1.004,2.197,1.160,0.244
-0.127,0.001,0.997,2.380,0.366,0.916
-0.107,-0.007,0.991,2.075,0.183,1.770
-0.094,-0.002,0.980,2.747,0.854,1.526
-0.092,-0.000,0.964,3.601,1.221,0.549
-0.084,0.008,0.951,3.540,1.404,0.427
-0.078,-0.001,0.944,3.540,1.221,0.244
-0.084,-0.000,0.948,2.869,1.648,-0.122
-0.097,0.003,0.958,1.831,2.808,-0.732
-0.111,-0.008,0.973,0.977,1.953,-0.244
-0.121,-0.016,0.973,1.038,0.793,-0.122
-0.146,-0.005,0.966,1.709,1.099,-0.305
-0.156,-0.001,0.956,2.197,1.831,-0.122
-0.148,-0.005,0.957,2.319,1.831,0.793
-0.120,-0.018,0.963,2.319,1.587,1.404
-0.097,-0.021,0.970,2.441,1.221,1.709
-0.086,-0.022,0.975,2.869,0.183,1.099
-0.100,-0.015,0.973,3.845,-0.061,0.366
-0.133,-0.004,0.967,4.211,-0.244,-0.122
-0.147,-0.007,0.972,4.089,-0.854,0.183
-0.144,-0.019,0.979,4.517,-1.770,1.160
-0.132,-0.018,0.981,4.944,-2.075,1.587
-0.111,-0.009,0.982,5.249,-2.075,1.465
-0.094,-0.012,0.981,6.226,-1.343,1.465
-0.090,-0.003,0.982,6.531,0.366,0.427

-0.130,-1.873,0.886,-16.235,17.090,19.409
-0.232,-2.145,0.846,-16.907,15.198,30.701
-0.238,-2.425,0.671,-13.367,2.136,47.546
-0.280,-2.682,0.281,-4.822,-22.461,68.542
-0.264,-2.684,-0.199,-3.723,-55.664,92.773
-0.026,-2.356,-0.579,-13.550,-70.557,108.765
0.114,-1.829,-0.680,-37.354,-32.227,96.924
0.238,-1.283,-0.356,-66.895,19.958,67.200
0.245,-0.635,0.032,-90.759,49.194,38.330
0.061,0.313,0.393,-116.577,35.706,19.165
-0.443,1.709,0.711,-139.954,3.418,10.681
-0.556,2.157,1.121,-157.898,-19.897,23.621
-0.382,2.405,1.571,-167.114,-64.758,68.237
-0.233,2.403,1.834,-157.715,-111.328,92.896
0.019,2.288,1.823,-129.272,-121.948,89.050
0.267,1.978,1.699,-97.534,-108.398,78.125
0.399,1.705,1.616,-72.632,-83.740,57.495
0.442,1.407,1.677,-57.068,-49.744,27.039
0.307,1.188,1.787,-43.335,-13.550,-2.014
0.074,1.000,1.763,-21.912,17.761,-23.499
-0.244,0.845,1.555,3.174,23.499,-32.593
-0.409,0.641,1.286,24.353,4.089,-20.569
-0.267,0.366,1.007,43.396,-16.235,5.798
-0.043,0.162,0.726,54.871,-28.076,25.452
0.190,0.060,0.478,54.932,-26.001,33.142
0.267,-0.004,0.315,45.288,-14.893,26.794
0.224,0.051,0.331,23.743,5.798,9.216
0.097,0.125,0.495,1.099,24.170,-4.700
-0.017,0.188,0.674,-13.184,27.100,-12.634
-0.026,0.160,0.836,-18.982,14.282,-10.742
0.053,0.077,0.936,-16.846,-2.808,-2.075
0.111,0.011,0.964,-11.658,-16.418,2.258
0.064,-0.028,0.929,-6.836,-25.635,0.305
-0.039,-0.011,0.921,-6.409,-25.452,-4.028
-0.131,0.040,0.964,-9.277,-21.423,-10.803
-0.164,0.063,1.023,-11.841,-13.611,-5.249
-0.177,0.048,1.102,-13.123,-13.428,-1.648
-0.139,-0.005,1.156,-12.329,-12.512,1.282
-0.103,-0.046,1.166,-8.301,-11.719,3.784
-0.069,-0.030,1.152,-4.272,-6.714,3.052
-0.063,-0.013,1.157,-0.977,-0.488,2.441
-0.032,-0.005,1.161,1.831,1.587,3.418
0.009,-0.026,1.145,6.287,0.183,3.662
0.021,-0.031,1.090,10.986,-2.441,2.686
-0.012,-0.041,1.010,13.916,-2.625,1.221
-0.032,-0.060,0.964,13.367,-1.526,0.854
-0.043,-0.068,0.975,10.681,-2.014,1.282
-0.072,-0.049,0.984,9.338,-1.221,1.099
-0.058,-0.028,0.985,8.911,3.235,1.404
-0.020,-0.026,0.982,8.728,7.263,2.747
0.035,-0.055,0.974,9.460,7.202,3.235
0.083,-0.075,0.948,10.681,5.615,2.258
0.084,-0.078,0.922,10.498,1.892,0.305
0.055,-0.082,0.919,9.094,-2.502,-1.282
0.027,-0.086,0.919,7.324,-2.991,-2.747
-0.012,-0.084,0.925,5.310,-2.441,-3.784
-0.086,-0.060,0.919,3.174,-2.197,-4.517
-0.117,-0.038,0.939,0.671,-1.038,-2.869
-0.083,-0.050,0.971,0.122,-0.183,1.221
-0.028,-0.056,0.998,0.916,0.366,3.784
0.007,-0.048,1.004,2.258,2.319,3.357
0.032,-0.043,1.010,4.028,3.784,2.747
0.042,-0.052,0.997,6.836,2.930,1.831
0.032,-0.040,0.973,8.789,1.343,0.977
0.009,-0.042,0.954,9.766,0.732,0.122
-0.015,-0.058,0.948,9.399,0.854,-0.488
-0.033,-0.065,0.940,8.606,2.319,-1.160
-0.042,-0.059,0.930,7.568,3.784,-1.587
-0.067,-0.058,0.920,6.409,4.089,-1.099
-0.059,-0.052,0.911,5.371,4.272,0.549
-0.045,-0.043,0.921,3.540,1.709,1.587
-0.012,-0.061,0.931,2.625,0.061,2.625
0.011,-0.072,0.931,2.869,0.061,2.258
0.000,-0.078,0.919,3.113,0.183,1.343
-0.012,-0.078,0.916,2.686,0.732,0.183
-0.015,-0.083,0.924,1.404,0.427,0.061
-0.022,-0.076,0.936,0.305,-1.099,-0.061
-0.026,-0.072,0.959,-0.671,-2.258,0.244
-0.021,-0.081,0.989,-1.404,-3.723,0.671
-0.022,-0.079,1.007,-1.343,-4.333,0.427
-0.023,-0.065,1.025,-0.732,-3.479,0.000
-0.062,-0.062,1.023,0.549,-2.380,0.427
-0.048,-0.057,1.023,1.770,-3.540,0.854
-0.018,-0.073,1.018,3.418,-5.554,3.784
0.015,-0.081,1.008,3.723,-6.287,2.441
0.021,-0.066,0.999,4.517,-6.287,2.258
0.018,-0.068,0.977,4.883,-4.639,1.282
-0.024,-0.044,0.956,4.150,-5.005,0.244
-0.047,-0.050,0.943,2.502,-1.160,0.427
-0.028,-0.069,0.966,0.610,1.587,1.953
-0.005,-0.083,1.006,-0.488,2.991,3.113
-0.000,-0.074,1.026,0.122,3.296,1.892
0.008,-0.068,1.021,2.380,2.502,0.854
0.015,-0.071,0.989,5.188,0.427,0.000
0.000,-0.072,0.941,7.141,-0.366,-1.343
-0.014,-0.071,0.918,6.409,-0.122,-2.014
-0.026,-0.082,0.927,3.845,0.977,-1.831
-0.032,-0.077,0.952,1.526,1.770,-1.709
-0.035,-0.066,0.978,0.854,1.709,-1.038
-0.029,-0.063,0.990,1.587,0.793,-0.122
-0.023,-0.061,0.981,2.502,-0.244,0.549
-0.015,-0.060,0.976,2.625,-0.610,0.671
-0.011,-0.078,0.977,2.686,-0.061,0.183
-0.021,-0.082,0.982,2.808,0.549,-0.488
-0.034,-0.076,0.983,3.235,0.916,-0.793
-0.032,-0.074,0.976,3.845,1.160,-0.549
-0.035,-0.067,0.964,3.723,0.427,-0.427
-0.036,-0.061,0.949,2.747,-0.061,-0.305
-0.031,-0.069,0.947,1.526,-0.122,0.122
-0.037,-0.083,0.965,0.305,0.061,0.427
-0.040,-0.082,0.982,0.061,0.610,0.549
-0.043,-0.080,0.988,0.427,0.854,0.732
-0.038,-0.078,0.995,0.916,0.732,0.793
-0.021,-0.069,0.998,2.075,0.244,1.038
-0.010,-0.058,1.000,3.052,-0.549,0.977
-0.006,-0.058,0.994,3.967,0.122,0.916
-0.013,-0.055,0.982,4.150,1.038,0.610
-0.018,-0.060,0.981,3.357,1.099,0.671
-0.011,-0.071,0.987,2.808,1.160,1.160

0.003,-2.129,0.578,-0.061,28.687,0.977
-0.107,-2.540,0.309,-0.305,6.531,18.127
-0.152,-2.836,0.021,-3.601,-27.710,45.044
-0.057,-2.962,-0.247,-12.329,-58.472,72.937
0.082,-2.961,-0.469,-23.499,-74.219,92.102
0.218,-2.747,-0.626,-35.217,-67.078,96.313
0.237,-2.231,-0.543,-57.617,-44.617,79.285
0.180,-1.320,-0.139,-82.214,-7.080,44.250
0.061,-0.596,0.431,-100.952,53.345,4.944
-0.250,0.350,0.830,-107.483,106.628,-22.766
-0.499,1.082,0.996,-113.770,111.023,-20.874
-0.629,1.653,0.975,-119.324,40.527,21.790
-0.505,1.881,0.931,-125.244,-67.505,77.637
-0.243,1.986,0.773,-125.366,-141.235,112.244
-0.030,2.144,0.645,-129.822,-160.889,104.004
-0.043,2.382,0.650,-141.907,-129.211,66.772
0.010,2.560,1.091,-166.626,-65.918,32.471
0.180,2.357,1.881,-187.866,0.366,10.803
0.329,1.877,2.574,-176.697,42.175,-4.639
0.265,1.429,2.736,-124.939,49.622,-19.409
0.050,1.139,2.314,-54.688,17.456,-28.564
-0.183,0.934,1.757,-1.648,-34.424,-23.071
-0.203,0.741,1.344,27.283,-60.059,-6.287
-0.127,0.558,1.085,41.260,-53.162,10.559
0.004,0.383,0.875,50.354,-35.095,20.996
0.098,0.364,0.634,53.833,-17.883,11.719
0.202,0.267,0.461,50.415,4.822,12.512
0.280,0.216,0.414,38.269,19.226,0.427
0.226,0.159,0.454,25.146,19.104,-6.348
0.105,0.186,0.546,13.123,13.611,-14.038
-0.064,0.200,0.640,5.676,2.686,-16.541
-0.088,0.111,0.716,1.404,-9.521,-10.681
-0.071,0.048,0.729,-1.709,-18.982,-4.089
-0.085,0.027,0.753,-6.470,-25.696,-4.272
-0.109,0.043,0.795,-10.254,-25.024,-7.263
-0.107,0.026,0.872,-13.062,-17.273,-7.080
-0.080,0.025,1.006,-15.808,-11.230,-5.798
-0.086,0.022,1.111,-14.709,-6.653,-5.859
-0.091,0.025,1.157,-11.047,-4.333,-5.249
-0.096,0.011,1.177,-7.324,-6.287,-3.601
-0.125,0.008,1.171,-4.395,-8.179,-2.441
-0.148,0.037,1.166,-3.235,-8.850,-2.441
-0.141,0.039,1.178,-2.136,-9.521,-1.526
-0.079,0.024,1.195,0.000,-8.728,1.221
-0.006,-0.030,1.170,5.432,-5.554,3.540
0.046,-0.050,1.109,11.658,-3.113,3.845
0.037,-0.034,1.077,14.771,-4.211,1.709
0.000,-0.014,1.043,15.808,-3.662,-0.732
-0.027,0.022,1.024,14.832,-2.380,-1.770
-0.047,0.039,1.036,11.475,-2.869,-1.526
-0.052,0.028,1.063,8.972,-4.150,-0.122
-0.043,0.015,1.071,8.728,-3.357,1.160
-0.015,-0.001,1.047,11.658,-0.244,1.709
0.005,0.008,1.027,13.672,2.075,0.916
0.013,0.036,1.020,13.672,1.831,-0.305
0.026,0.007,1.020,13.245,2.197,-1.038
0.026,-0.035,1.012,13.794,3.235,-0.977
0.001,-0.059,0.990,14.832,4.150,-2.014
-0.048,-0.056,0.969,14.038,6.409,-3.784
-0.092,-0.041,0.973,11.475,8.911,-4.211
-0.098,-0.029,1.002,7.935,9.888,-2.808
-0.058,-0.046,1.043,6.836,8.789,-0.305
-0.015,-0.051,1.053,8.240,5.981,0.610
-0.004,-0.044,1.026,11.414,2.319,0.183
-0.004,-0.046,0.983,14.221,0.977,-0.793
-0.022,-0.036,0.941,14.893,1.709,-2.197
-0.065,-0.007,0.932,13.184,5.188,-4.089
-0.092,-0.001,0.956,10.315,8.057,-4.456
-0.158,0.013,0.977,7.935,5.249,-2.808
-0.090,-0.002,0.982,7.812,3.784,1.648
-0.058,-0.011,0.977,8.789,0.732,2.319
-0.026,-0.020,0.944,10.254,-0.488,3.235
-0.029,-0.013,0.909,11.047,-2.502,2.502
-0.024,-0.017,0.900,10.254,-3.113,2.930
-0.013,-0.029,0.905,9.033,-4.211,3.479
-0.019,-0.024,0.928,7.751,-3.174,2.625
-0.025,-0.021,0.954,6.287,0.244,1.770
-0.041,-0.023,0.971,5.920,0.061,1.892
-0.042,-0.030,0.980,5.737,-1.526,1.770
-0.043,-0.035,0.978,5.676,-1.343,1.221
-0.059,-0.026,0.970,5.920,0.244,0.610
-0.032,-0.029,0.980,5.493,0.427,0.916
-0.021,-0.035,0.987,5.371,-1.404,2.197
0.032,-0.058,0.972,6.714,-2.319,3.906
-0.016,-0.030,0.943,6.531,-7.874,1.038
0.000,-0.057,0.929,7.263,-7.874,5.676
-0.001,-0.054,0.938,5.737,-9.216,0.854
-0.023,-0.057,0.946,4.578,-6.042,1.770
-0.041,-0.047,0.949,3.845,-0.854,0.366
-0.050,-0.041,0.970,2.319,1.404,-0.427
-0.039,-0.036,0.988,1.953,2.319,0.305
-0.001,-0.036,0.986,3.906,2.258,1.160
0.025,-0.032,0.965,6.348,0.122,1.038
0.042,-0.048,0.945,7.690,-2.747,1.465
0.044,-0.058,0.930,7.324,-4.395,1.282
0.029,-0.052,0.930,5.554,-3.357,0.061
0.006,-0.042,0.941,4.089,-1.160,-1.099
-0.004,-0.036,0.951,3.357,-1.038,-1.465
-0.009,-0.042,0.967,2.991,-1.770,-0.610
-0.019,-0.045,0.971,3.113,-0.366,0.244
-0.032,-0.040,0.983,2.625,1.282,0.610
-0.022,-0.049,0.996,2.380,4.028,1.038
-0.008,-0.050,0.999,2.930,5.981,1.587
-0.009,-0.045,0.990,4.211,4.700,0.916
-0.004,-0.043,0.973,5.798,2.808,0.549
-0.011,-0.048,0.947,6.104,1.892,0.427
-0.031,-0.062,0.930,5.127,0.977,0.244
-0.032,-0.066,0.921,3.296,0.732,0.061
-0.036,-0.066,0.923,1.892,0.854,0.244
-0.032,-0.051,0.938,0.610,0.610,0.000
-0.025,-0.045,0.961,0.366,0.793,-0.061
-0.018,-0.041,0.978,0.977,1.160,-0.061
-0.010,-0.045,0.980,2.014,1.526,-0.793
-0.004,-0.047,0.967,2.930,0.061,-1.099
-0.010,-0.045,0.954,3.174,-1.526,-1.160
-0.011,-0.048,0.952,2.869,-1.526,-1.404
-0.020,-0.054,0.959,2.441,-0.549,-1.587
-0.037,-0.050,0.968,1.892,-0.488,-2.075
-0.056,-0.049,0.972,1.648,-0.610,-1.953

0.219,-1.639,0.933,-3.235,16.357,9.888
0.141,-1.963,0.903,-4.822,23.376,13.245
0.052,-2.341,0.794,-3.479,30.884,15.320
-0.063,-2.648,0.522,1.160,27.710,24.231
-0.126,-2.779,0.133,5.249,13.428,40.222
-0.123,-2.724,-0.278,7.141,-7.751,60.425
-0.042,-2.570,-0.589,4.395,-27.710,77.454
0.111,-2.247,-0.787,-1.648,-37.964,84.229
0.213,-1.678,-0.851,-15.259,-19.653,72.083
0.245,-0.932,-0.681,-36.865,27.283,44.556
0.085,-0.015,-0.215,-69.092,80.261,7.568
-0.049,0.965,0.403,-101.196,115.479,-22.034
-0.372,2.065,0.923,-125.916,109.131,-23.315
-0.290,2.311,1.485,-149.841,52.429,12.146
-0.156,2.154,1.887,-155.151,-46.509,61.646
-0.018,1.968,1.974,-141.052,-120.850,85.571
0.123,1.754,1.851,-112.061,-139.099,75.378
0.246,1.427,1.606,-77.942,-113.586,53.101
0.231,1.291,1.506,-64.148,-79.834,23.193
0.074,1.194,1.563,-68.237,-51.270,-7.629
-0.095,1.119,1.647,-66.467,-22.522,-22.583
-0.228,1.004,1.686,-58.167,-8.118,-16.235
-0.211,0.775,1.738,-44.556,-16.235,-1.587
-0.027,0.523,1.715,-21.423,-30.518,16.541
0.222,0.301,1.540,8.240,-37.537,26.611
0.226,0.202,1.269,34.851,-39.185,24.841
0.245,0.192,1.026,49.866,-34.302,15.076
0.226,0.195,0.809,54.382,-19.043,1.526
0.081,0.235,0.606,51.086,-3.601,-2.258
-0.005,0.195,0.497,35.706,0.793,-8.911
-0.022,0.104,0.512,16.785,-6.531,-4.517
-0.005,0.035,0.583,0.732,-13.428,-3.113
-0.004,-0.026,0.636,-7.080,-9.583,-0.488
0.001,-0.025,0.686,-9.949,-5.554,0.000
0.009,-0.033,0.714,-10.315,-7.568,1.099
0.004,-0.019,0.743,-12.451,-13.672,3.662
0.008,-0.016,0.836,-18.005,-22.644,2.686
0.026,-0.036,0.935,-21.179,-25.635,0.061
0.035,-0.042,1.003,-21.545,-24.719,-0.427
0.018,-0.061,1.041,-20.264,-23.926,-1.526
-0.009,-0.079,1.037,-15.747,-21.667,-2.075
-0.038,-0.073,1.025,-13.184,-19.348,-1.770
-0.052,-0.099,1.035,-12.878,-20.142,-1.099
-0.041,-0.121,1.045,-11.414,-18.311,0.671
0.004,-0.112,1.076,-10.254,-13.855,1.770
0.037,-0.114,1.093,-7.080,-10.803,2.625
0.059,-0.115,1.078,-2.258,-7.385,1.770
0.059,-0.112,1.038,0.549,-5.188,0.488
0.040,-0.127,1.007,1.892,-4.272,-1.160
0.026,-0.115,1.001,1.953,-2.319,-2.563
0.001,-0.112,0.998,1.770,0.061,-3.601
-0.026,-0.104,0.989,2.014,0.061,-2.747
-0.014,-0.107,0.980,3.357,-1.160,0.000
0.020,-0.119,0.959,4.456,-1.404,1.526
0.026,-0.141,0.937,5.005,-0.977,1.099
-0.010,-0.127,0.916,4.639,0.305,-0.671
-0.025,-0.139,0.910,2.625,0.671,-1.038
-0.021,-0.134,0.923,0.000,-2.502,0.000
-0.005,-0.136,0.941,-1.221,-5.249,0.305
0.025,-0.146,0.957,-1.770,-3.418,0.488
0.020,-0.125,0.962,-3.113,-0.732,0.000
0.005,-0.112,0.980,-4.150,0.366,-1.038
-0.001,-0.107,1.002,-5.554,0.122,-1.221
0.005,-0.104,1.028,-5.981,-0.488,-0.671
0.021,-0.100,1.059,-4.944,-1.709,-0.916
0.033,-0.098,1.074,-2.319,-2.380,-2.014
0.033,-0.076,1.057,0.000,-0.916,-2.930
-0.013,-0.062,1.023,2.625,0.488,-3.967
-0.029,-0.059,1.007,3.113,0.732,-3.601
-0.021,-0.094,1.005,2.563,1.038,-1.221
-0.009,-0.109,1.006,2.258,1.526,-0.427
-0.008,-0.097,1.005,2.075,2.686,-1.282
-0.015,-0.097,1.001,2.075,2.136,-1.221
-0.011,-0.099,0.999,2.625,0.916,-0.916
-0.009,-0.099,0.978,3.723,-0.122,-1.221
-0.002,-0.115,0.955,4.700,-0.671,-1.343
-0.073,-0.089,0.938,3.662,-1.953,-2.441
-0.088,-0.124,0.937,2.808,-0.305,0.671
-0.095,-0.112,0.954,1.160,0.305,-0.732
-0.075,-0.106,0.970,0.061,1.404,2.014
-0.041,-0.106,0.979,-0.488,-1.465,4.333
0.024,-0.117,0.984,0.122,-5.127,5.371
0.022,-0.132,0.951,2.136,-6.348,5.676
0.037,-0.120,0.943,2.686,-5.005,2.502
0.004,-0.120,0.953,1.770,-5.554,-0.244
-0.034,-0.106,0.967,0.244,-2.075,-3.235
-0.083,-0.089,0.980,-0.549,-0.549,-1.953
-0.066,-0.093,1.006,-0.916,-0.366,0.732
-0.041,-0.099,1.026,-0.427,-2.319,2.747
-0.018,-0.108,1.021,1.343,-2.197,4.028
-0.013,-0.103,0.998,3.662,-1.953,3.052
-0.004,-0.109,0.973,5.066,-2.136,1.770
-0.006,-0.119,0.955,5.310,-2.014,1.282
-0.008,-0.121,0.953,4.639,-1.709,0.488
-0.016,-0.117,0.958,4.089,-1.465,0.183
-0.017,-0.108,0.964,3.357,-0.488,0.305
-0.021,-0.105,0.971,3.052,-0.061,0.183
-0.004,-0.105,0.976,3.052,-0.244,0.244
0.001,-0.117,0.975,3.540,-1.343,0.610
-0.005,-0.114,0.961,3.723,-1.465,0.183
-0.028,-0.109,0.948,3.174,-0.122,0.061
-0.045,-0.100,0.954,1.648,1.221,0.183
-0.043,-0.099,0.973,0.732,1.587,0.549
-0.023,-0.101,0.976,1.160,1.099,1.038
0.006,-0.095,0.958,2.502,0.305,1.343
0.024,-0.094,0.931,3.296,-1.526,1.160
0.027,-0.092,0.921,2.441,-2.014,0.427
0.015,-0.090,0.927,0.610,-0.305,-0.305
0.003,-0.089,0.938,-0.549,2.014,-1.038
-0.005,-0.086,0.953,-1.648,2.380,-1.343
-0.006,-0.086,0.963,-1.831,0.488,-0.916
-0.011,-0.078,0.966,-1.770,-2.075,-0.183
-0.019,-0.083,0.970,-1.465,-3.174,0.183
-0.010,-0.100,0.972,-1.038,-2.380,0.549
-0.000,-0.116,0.968,-0.732,-1.221,0.305
-0.002,-0.120,0.964,-0.488,-0.977,-0.793
-0.009,-0.126,0.960,-0.183,-0.854,-1.465
-0.029,-0.127,0.958,0.000,-0.427,-1.953
-0.057,-0.106,0.960,-0.122,0.610,-2.441

0.035,-1.977,0.997,14.954,16.968,4.700
0.009,-2.703,0.759,26.672,20.447,14.709
-0.088,-3.316,0.311,40.161,14.282,33.752
-0.195,-3.441,-0.252,43.701,-1.587,50.110
-0.166,-3.338,-0.715,31.067,-18.433,67.627
-0.011,-3.178,-0.963,8.240,-37.720,85.876
0.244,-2.778,-1.082,-19.531,-57.556,91.614
0.252,-1.985,-1.157,-51.636,-58.716,77.148
0.281,-1.034,-0.830,-92.407,-22.583,51.514
0.352,-0.178,-0.012,-139.954,38.147,23.560
0.300,1.120,1.101,-185.913,86.792,-9.949
-0.051,2.092,2.163,-218.567,94.238,-39.307
-0.422,2.518,2.638,-195.129,46.326,-21.790
-0.467,2.535,2.510,-140.259,-45.410,32.288
-0.394,2.282,2.114,-88.928,-134.155,79.895
-0.068,1.781,1.699,-60.059,-174.988,94.849
0.074,1.400,1.262,-36.560,-163.696,74.524
0.135,1.310,1.072,-35.156,-107.849,38.086
0.093,1.144,1.118,-47.363,-39.673,4.700
-0.001,1.094,1.308,-52.368,16.968,-12.878
-0.064,0.978,1.470,-46.326,32.166,-17.273
-0.019,0.859,1.571,-30.823,22.522,-14.648
0.044,0.657,1.489,-9.277,7.874,-7.751
0.067,0.443,1.288,15.686,-6.104,2.747
0.019,0.330,1.069,31.433,-9.399,6.409
-0.053,0.235,0.896,41.565,-4.822,11.169
0.009,0.186,0.731,47.852,3.174,13.428
0.112,0.262,0.574,50.537,8.362,17.639
0.222,0.197,0.447,44.495,-0.488,11.597
0.354,0.056,0.341,35.828,-10.803,10.803
0.358,0.007,0.309,18.433,-24.170,0.427
0.252,-0.011,0.348,-0.549,-23.071,-9.033
-0.002,0.039,0.458,-19.348,-14.832,-15.564
-0.174,0.084,0.678,-35.767,-7.996,-16.479
-0.229,0.087,0.922,-43.335,-3.296,-9.949
-0.097,0.014,1.140,-38.757,-1.038,-2.258
0.014,-0.036,1.238,-26.489,-3.418,0.061
0.072,-0.048,1.201,-11.658,-8.423,4.761
0.093,-0.046,1.135,-1.282,-13.306,6.348
0.079,-0.048,1.054,4.150,-13.672,0.977
0.004,-0.032,1.008,3.540,-7.568,-6.226
-0.075,-0.024,1.006,0.671,-1.343,-5.066
-0.078,-0.027,1.024,-1.099,1.831,-3.174
-0.039,-0.068,1.036,-1.038,0.549,-1.343
0.023,-0.096,1.029,0.305,-0.793,2.258
0.058,-0.147,0.992,3.967,-2.014,4.639
0.033,-0.150,0.913,7.263,-4.456,2.319
-0.016,-0.121,0.856,7.629,-5.432,-0.488
-0.042,-0.076,0.853,4.211,-3.723,-1.343
-0.027,-0.060,0.904,-0.305,-1.892,-0.244
0.014,-0.067,0.958,-2.808,-2.380,1.465
0.056,-0.108,0.974,-2.930,-5.188,2.502
0.075,-0.110,0.970,-2.014,-8.057,2.380
0.080,-0.125,0.949,-0.610,-8.789,0.793
0.066,-0.126,0.935,0.183,-7.141,-1.221
0.026,-0.089,0.937,0.061,-3.723,-4.089
-0.007,-0.082,0.958,-0.671,-1.526,-5.615
-0.018,-0.090,0.985,-1.770,-1.709,-4.578
-0.019,-0.106,0.992,-2.747,-2.197,-1.709
0.000,-0.133,0.983,-1.892,-4.333,0.488
0.011,-0.148,0.961,-0.854,-6.348,1.404
0.018,-0.133,0.943,-0.427,-5.310,0.488
0.014,-0.111,0.947,-0.549,-2.869,-0.610
0.034,-0.106,0.973,-0.977,-1.160,-1.526
0.035,-0.092,0.999,-1.160,-1.038,-2.686
0.004,-0.071,1.000,-0.549,-0.366,-2.258
-0.014,-0.081,0.997,-0.610,0.854,-1.831
-0.012,-0.088,1.005,-1.038,0.488,-0.244
-0.011,-0.098,1.017,-1.343,0.549,0.977
-0.009,-0.107,1.024,-1.404,2.136,0.793
-0.021,-0.110,1.020,-0.793,3.601,0.549
-0.017,-0.107,1.009,0.244,4.150,0.000
-0.053,-0.097,0.994,1.221,1.221,-1.038
-0.026,-0.088,0.984,2.319,-0.366,1.099
-0.016,-0.086,0.974,2.808,-0.854,0.854
-0.018,-0.090,0.962,2.563,-1.404,-0.305
-0.023,-0.097,0.954,1.587,0.061,1.282
-0.007,-0.109,0.968,0.610,-0.061,1.648
-0.003,-0.119,0.976,0.244,-1.648,0.305
-0.002,-0.104,0.960,0.610,-1.953,0.061
-0.016,-0.100,0.949,0.549,-2.625,-0.183
-0.024,-0.080,0.967,-0.732,-2.991,-0.671
-0.020,-0.077,1.010,-2.075,-3.052,0.366
-0.008,-0.090,1.040,-2.563,-1.831,0.977
-0.005,-0.088,1.042,-0.977,-0.793,0.854
-0.004,-0.095,1.016,1.099,-2.258,1.221
0.003,-0.093,1.000,2.686,-4.761,1.648
0.016,-0.093,0.990,3.723,-7.019,1.465
0.004,-0.102,0.977,4.700,-7.263,0.671
-0.013,-0.091,0.965,4.089,-5.981,-0.488
-0.032,-0.095,0.959,3.357,-5.432,-1.038
-0.018,-0.107,0.949,3.296,-4.089,0.000
-0.017,-0.101,0.937,2.747,-3.113,0.671
